      Date      Angle      Separ      err-a      err-s nts  pr
  1949.471        0.0        00.          0       0.03   1   2
  1949.515      186.4       0.09          0       0.03   2   2
  1949.573      222.1       0.09          0       0.03   2   2
   1950.19       356.      00.16          0       0.03   3   2
  1950.304       15.0      00.15          0       0.03   2   2
  1950.408      198.4      00.25          0       0.03   1   2
  1950.461        0.0        00.          0       0.03   1   2
  1950.489      177.7       0.15          0       0.03   3   2
  1951.353       10.7      00.27          0       0.03   3   2
   1951.38      193.2       0.27          0       0.03   3   2
   1951.42       11.4      00.26          0       0.03   3   2
   1951.42       11.4      00.26          0       0.03   4   2
  1951.518      192.4       0.31          0       0.03   3   2
  1952.379      194.9      00.30          0       0.03   1   2
   1952.41      190.7      00.36          0       0.03   3   2
   1952.42       11.7      00.35          0       0.03   4   2
  1952.533      191.9       0.34          0       0.03   2   2
   1953.21      191.8      00.40          0       0.03   1   2
  1953.390     194.57      00.39          0       0.03   3   2
   1953.43       11.7      00.47          0       0.03   4   2
  1953.478        6.7      00.69          0       0.03   2   2
   1953.52       11.7      00.38          0       0.03   3   2
  1953.525      192.9      0.424          0      0.003   3   3
   1954.32      191.8      00.55          0       0.03   3   2
   1954.40       12.5      00.57          0       0.03   4   2
  1954.408      192.6      00.45          0       0.03   4   2
   1954.44      191.3      00.57          0       0.03   2   2
   1955.16      191.7      00.60          0       0.03   5   2
   1955.32      190.7      00.60          0       0.03   3   2
   1955.35      191.2      00.59          0       0.03   4   2
  1955.382     192.22      00.51          0       0.03   6   2
   1955.40       12.3      00.66          0       0.03   4   2
   1956.23      191.3      00.65          0       0.03   5   2
  1956.256      189.1     00.633          0      0.003   3   3
   1956.36       11.6      00.66          0       0.03   4   2
  1956.393     192.27      00.54          0       0.03   5   2
   1957.29      192.0      00.66          0       0.03   3   2
   1957.37      191.4      00.67          0       0.03   5   2
   1957.37      192.4      00.73          0       0.03   4   2
  1957.393     191.36      00.59          0       0.03   5   2
   1957.42     194.12     00.613          0      0.003   1   3
  1957.453       10.6      00.56          0       0.03   5   2
   1958.29       12.5      00.61          0       0.03   3   2
   1958.33      192.6      00.69          0       0.03   3   2
   1958.46      191.2      00.75          0       0.03   1   2
   1958.46      191.2      00.75          0       0.03   3   2
   1959.37      191.0      00.66          0       0.03   3   2
   1959.49      192.7      00.69          0       0.03   4   2
   1959.50      191.5      00.65          0       0.03   3   2
   1959.50      192.3      00.67          0       0.03   1   2
   1960.28      192.6      00.60          0       0.03   4   2
   1960.43       13.2      00.61          0       0.03   4   2
   1961.15      191.8      00.51          0       0.03   4   2
   1961.20       10.2      00.46          0       0.03   2   2
   1961.20       10.3      00.44          0       0.03   2   2
   1961.27       13.1      00.41          0       0.03   3   2
   1961.32      193.1      00.44          0       0.03   4   2
   1961.34      188.9      00.47          0       0.03   3   2
  1962.067       14.1      00.27          0       0.03   4   2
   1962.17       13.4      00.30          0       0.03   5   2
  1962.276      191.3      00.24          0       0.03   4   2
   1962.31      192.2      00.25          0       0.03   3   2
   1962.36       12.9      00.19          0       0.03   1   2
   1962.38       10.5      00.27          0       0.03   4   2
   1962.38       11.1      00.20          0       0.03   4   2
   1962.39       13.2      00.25          0       0.03   4   2
   1962.40        7.2      00.22          0       0.03   5   2
   1962.52      191.2      0.222          0      0.003   4   3
   1963.22        1.6        00.          0       0.03   1   2
  1963.289        0.0        00.          0       0.03   1   2
  1963.421       13.4      00.11          0       0.03   6   2
  1963.516       12.4      0.103          0      0.003   2   3
