# From	https//www.uefa.com/european-qualifiers/news/0264-110cbe0bf3c8-20065adb8f46-1000--qualifying-fixtures-and-results/			
home	       hs m as	away			
Lithuania	0 - 2	Italy
NorthernIreland	0 - 0	Bulgaria
BosniaHerzeg	0 - 1	France
Ukraine		1 - 1	Kazakhstan
Austria		0 - 4	Denmark
Moldova		1 - 4	Israel
Scotland	4 - 0	FaroeIslands
Andorra		1 - 4	Hungary
England		2 - 1	Poland
SanMarino	0 - 2	Albania
Armenia		3 - 2	Romania
Germany		1 - 2	NorthMacedonia
Liechtenstein	1 - 4	Iceland
Azerbaijan	1 - 2	Serbia
Luxembourg	1 - 3	Portugal
Belgium		8 - 0	Belarus
Wales		1 - 0	CzechRepublic
Gibraltar	0 - 7	Netherlands
Montenegro	0 - 1	Norway
Turkey		3 - 3	Latvia
Croatia		3 - 0	Malta
Cyprus		1 - 0	Slovenia
Slovakia	2 - 1	Russia
Georgia		1 - 2	Spain
Kosovo		0 - 3	Sweden
Bulgaria	0 - 2	Italy
Switzerland	1 - 0	Lithuania
Kazakhstan	0 - 2	France
Ukraine		1 - 1	Finland
Denmark		8 - 0	Moldova
Austria		3 - 1	FaroeIslands
Israel		1 - 1	Scotland
Albania		0 - 2	England
Poland		3 - 0	Andorra
SanMarino	0 - 3	Hungary
Armenia		2 - 0	Iceland
NorthMacedonia	5 - 0	Liechtenstein
Romania		0 - 1	Germany
Ireland		0 - 1	Luxembourg
Serbia		2 - 2	Portugal
Belarus		4 - 2	Estonia
CzechRepublic	1 - 1	Belgium
Montenegro	4 - 1	Gibraltar
Norway		0 - 3	Turkey
Netherlands	2 - 0	Latvia
Russia		2 - 1	Slovenia
Croatia		1 - 0	Cyprus
Slovakia	2 - 2	Malta
Spain		1 - 1	Greece
Sweden		1 - 0	Georgia
Bulgaria	1 - 3	Switzerland
Italy		2 - 0	NorthernIreland
Israel		0 - 2	Denmark
Moldova		1 - 1	FaroeIslands
Scotland	2 - 2	Austria
Andorra		0 - 1	Albania
